region,sub-region,country,disease,outbreaks
Asia,Western Asia,Turkey,Unspecified Viral Haemorrhagic Fever,1
Americas,Latin America and the Caribbean,Turks and Caicos Islands,Influenza,1
Americas,Latin America and the Caribbean,Turks and Caicos Islands,COVID-19,3
Oceania,Polynesia,Tuvalu,Influenza,1
Africa,Sub-Saharan Africa,Uganda,Influenza,1
Africa,Sub-Saharan Africa,Uganda,COVID-19,3
Africa,Sub-Saharan Africa,Uganda,Cholera,2
Africa,Sub-Saharan Africa,Uganda,Ebola,5
Africa,Sub-Saharan Africa,Uganda,Marburg Disease,3
Africa,Sub-Saharan Africa,Uganda,Meningococcal Meningitis,2
Africa,Sub-Saharan Africa,Uganda,O'nyong-nyong Alphavirus,1
Africa,Sub-Saharan Africa,Uganda,Plague,1
Africa,Sub-Saharan Africa,Uganda,Typhoid Fever,1
Africa,Sub-Saharan Africa,Uganda,Unspecified Viral Haemorrhagic Fever,4
Africa,Sub-Saharan Africa,Uganda,Viral Meningitis,1
Africa,Sub-Saharan Africa,Uganda,Yellow Fever,3
Europe,Eastern Europe,Ukraine,Influenza,3
Europe,Eastern Europe,Ukraine,Acute Polio,2
Europe,Eastern Europe,Ukraine,COVID-19,3
Europe,Eastern Europe,Ukraine,Measles,1
Asia,Western Asia,United Arab Emirates,Influenza,1
Asia,Western Asia,United Arab Emirates,COVID-19,3
Asia,Western Asia,United Arab Emirates,MERS,9
Europe,Northern Europe,United Kingdom,Influenza,5
Europe,Northern Europe,United Kingdom,Acute Hepatitis A,1
Europe,Northern Europe,United Kingdom,COVID-19,3
Europe,Northern Europe,United Kingdom,Coccidioidomycosis,1
Europe,Northern Europe,United Kingdom,Ebola,1
Europe,Northern Europe,United Kingdom,Escherichia Coli,3
Europe,Northern Europe,United Kingdom,Gonorrhea,1
Europe,Northern Europe,United Kingdom,Shigella Intestinal Infections,1
Europe,Northern Europe,United Kingdom,Lassa Fever,3
Europe,Northern Europe,United Kingdom,Measles,1
Europe,Northern Europe,United Kingdom,Meningococcal Meningitis,2
Europe,Northern Europe,United Kingdom,MERS,3
Europe,Northern Europe,United Kingdom,Monkeypox,1
Europe,Northern Europe,United Kingdom,SARS,1
Americas,Northern America,United States,Influenza,6
Americas,Northern America,United States,Acute Hepatitis A,1
Americas,Northern America,United States,Anthrax,1
Americas,Northern America,United States,Botulism,1
Americas,Northern America,United States,COVID-19,3
Americas,Northern America,United States,Chikungunya Virus,1
Americas,Northern America,United States,Ebola,2
Americas,Northern America,United States,Enterovirus,1
Americas,Northern America,United States,Haemorrhagic Fever with Renal Syndrome,1
Americas,Northern America,United States,Hantavirus Pulmonary Syndrome,1
Americas,Northern America,United States,Infection,1
Americas,Northern America,United States,Salmonella,2
Americas,Northern America,United States,Lassa Fever,1
Americas,Northern America,United States,Leptospirosis,1
Americas,Northern America,United States,Measles,3
Americas,Northern America,United States,Meningococcal Meningitis,1
Americas,Northern America,United States,MERS,1
Americas,Northern America,United States,Monkeypox,1
Americas,Northern America,United States,SARS,1
Americas,Northern America,United States,St. Louis Encephalitis Virus,1
Americas,Northern America,United States,Pulmonary Tuberculosis,1
Americas,Northern America,United States,West Nile Virus,2
Americas,Northern America,United States,Yellow Fever,2
Americas,Northern America,United States,Zika Virus,1
Americas,Latin America and the Caribbean,Uruguay,Influenza,2
Americas,Latin America and the Caribbean,Uruguay,COVID-19,3
Americas,Latin America and the Caribbean,Uruguay,Dengue,1
Asia,Central Asia,Uzbekistan,COVID-19,3
Oceania,Melanesia,Vanuatu,Influenza,1
Oceania,Melanesia,Vanuatu,COVID-19,3
Americas,Latin America and the Caribbean,Venezuela,Influenza,2
Americas,Latin America and the Caribbean,Venezuela,COVID-19,3
Americas,Latin America and the Caribbean,Venezuela,Dengue,1
Americas,Latin America and the Caribbean,Venezuela,Measles,1
Americas,Latin America and the Caribbean,Venezuela,Unspecified Viral Haemorrhagic Fever,1
Americas,Latin America and the Caribbean,Venezuela,Yellow Fever,4
Americas,Latin America and the Caribbean,Venezuela,Zika Virus,1
Asia,South-eastern Asia,Vietnam,Influenza,7
Asia,South-eastern Asia,Vietnam,COVID-19,3
Asia,South-eastern Asia,Vietnam,Cholera,1
Asia,South-eastern Asia,Vietnam,Dengue,1
Asia,South-eastern Asia,Vietnam,Infectious Gastroenteritis or Colitis,1
Asia,South-eastern Asia,Vietnam,Measles,1
Asia,South-eastern Asia,Vietnam,SARS,1
Asia,South-eastern Asia,Vietnam,Zika Virus,1
Americas,Latin America and the Caribbean,Virgin Islands (British),Influenza,1
Americas,Latin America and the Caribbean,Virgin Islands (British),COVID-19,3
Americas,Latin America and the Caribbean,Virgin Islands (U.S.),Influenza,1
Americas,Latin America and the Caribbean,Virgin Islands (U.S.),COVID-19,3
Oceania,Polynesia,Wallis and Futuna,Influenza,1
Oceania,Polynesia,Wallis and Futuna,COVID-19,2
Asia,Western Asia,Yemen,Influenza,1
Asia,Western Asia,Yemen,Acute Polio,2
Asia,Western Asia,Yemen,COVID-19,3
Asia,Western Asia,Yemen,Diphtheria,1
Asia,Western Asia,Yemen,Measles,1
Asia,Western Asia,Yemen,MERS,1
Asia,Western Asia,Yemen,Rift Valley Fever,1
Asia,Western Asia,Yemen,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,Zambia,Influenza,1
Africa,Sub-Saharan Africa,Zambia,Acute Polio,1
Africa,Sub-Saharan Africa,Zambia,Arenavirus,1
Africa,Sub-Saharan Africa,Zambia,Bubonic Plague,1
Africa,Sub-Saharan Africa,Zambia,COVID-19,3
Africa,Sub-Saharan Africa,Zambia,Cholera,3
Africa,Sub-Saharan Africa,Zambia,Infection,1
Africa,Sub-Saharan Africa,Zambia,Measles,1
Africa,Sub-Saharan Africa,Zambia,Plague,1
Africa,Sub-Saharan Africa,Zimbabwe,Influenza,1
Africa,Sub-Saharan Africa,Zimbabwe,COVID-19,3
Africa,Sub-Saharan Africa,Zimbabwe,Cholera,5
Africa,Sub-Saharan Africa,Zimbabwe,Unspecified Viral Haemorrhagic Fever,1
Africa,Sub-Saharan Africa,Zimbabwe,Viral Meningitis,1
